,user_id,score,date,store,review_title,review_contents
210,ponn****,5,21.05.07.,애플 공식 브랜드스토어,배송 매우 빠르고 넘 예뻐여... 흡족!,배송 매우 빠르고 넘 예뻐여... 흡족!
211,b*y*****,5,21.05.21.,하이마트쇼핑몰,"비싼 아이폰12 
카드청구할인 받아",비싼 아이폰12 카드청구할인 받아서 할인 좀 받고 샀네요...배송 빠르고 좋아요
212,hell****,5,21.01.13.,애플 공식 브랜드스토어,배달도 빨랐고 너무이뻐요 ㅋㅋ,배달도 빨랐고 너무이뻐요 ㅋㅋ
213,usta****,5,21.05.09.,프리스비애플프리미엄리셀러,아이가 원하던거라..좋아해요,아이가 원하던거라..좋아해요
214,tomm****,5,21.05.07.,애플 공식 브랜드스토어,배송도 빠르고 너무 이뻐요,배송도 빠르고 너무 이뻐요
215,choc****,5,21.05.08.,애플 공식 브랜드스토어,정말 너무 마음에 들어요~!,정말 너무 마음에 들어요~!
216,reye****,5,21.05.08.,애플 공식 브랜드스토어,보호필름도 한번에 주문해서 바로 부착했습니다진짜 예뻐요ㅠㅠㅠ,보호필름도 한번에 주문해서 바로 부착했습니다진짜 예뻐요ㅠㅠㅠ
217,co97****,5,21.05.15.,애플 공식 브랜드스토어,너무 이뻐요 최고입니다,너무 이뻐요 최고입니다
218,mrwo****,5,21.05.17.,애플 공식 브랜드스토어,너무 잘 쓰고 있습니다.,너무 잘 쓰고 있습니다.
219,giga****,5,21.05.28.,애플 공식 브랜드스토어,잘 도착했어요 감사,잘 도착했어요 감사
220,shaz****,5,21.05.10.,애플 공식 브랜드스토어,계속 아이폰만 쓰고 있는데이번 버전은 정말 이뻐요 ㅎㅎㅎ,계속 아이폰만 쓰고 있는데이번 버전은 정말 이뻐요 ㅎㅎㅎ
221,mint****,5,21.05.09.,애플 공식 브랜드스토어,색감미쳤어요 배송도 엄청빨랐어요 굿굿 강추,색감미쳤어요 배송도 엄청빨랐어요 굿굿 강추
222,god3****,5,21.02.08.,프리스비애플프리미엄리셀러,빠른 배송 안전한 배송 최곱니다!,빠른 배송 안전한 배송 최곱니다!
223,hk_1****,5,21.05.13.,애플 공식 브랜드스토어,배송 정말 빨랐고 너무 예뻐요♡,배송 정말 빨랐고 너무 예뻐요♡
224,h*h*****,5,21.05.13.,하이마트쇼핑몰,18일 예정이라는데 구매한 날 당일,18일 예정이라는데 구매한 날 당일배송으로 다음날 바로 받았어요!!
225,ysg1****,5,21.01.21.,애플 공식 브랜드스토어,배송 안전하고 빠르고 아이폰도 기스 하나 없이 좋아요!,배송 안전하고 빠르고 아이폰도 기스 하나 없이 좋아요!
226,tops****,5,21.01.16.,애플 공식 브랜드스토어,진짜 성능 대박쿠~~~재고 떳을때 바루 결제했어용,진짜 성능 대박쿠~~~재고 떳을때 바루 결제했어용
227,sunn****,5,21.05.06.,프리스비애플프리미엄리셀러,빠른배송좋고 아이가 아주 만족합니다,빠른배송좋고 아이가 아주 만족합니다
228,ruby****,5,21.05.18.,애플 공식 브랜드스토어,보라보라 남편 사줬어요,보라보라 남편 사줬어요
